manufacturer,name,year,title,isBase,pp,power,powerRpm,torque,torqueRpm,weight,weightBalanceFront,weightBalanceRear,hasWideBody,swappedEngineModel,gtAutoFront,gtAutoSide,gtAutoRear,gtAutoWing,tyresFront,tyresRear,suspensionType,susBodyHeightFront,susBodyHeightRear,susAntiRollBarFront,susAntiRollBarRear,susDampingCompFront,susDampingCompRear,susDampingExpFront,susDampingExpRear,susNaturalFreqFront,susNaturalFreqRear,susCamberFront,susCamberRear,susToeFront,susToeRear,diffType,diffInitTorqueFront,diffInitTorqueRear,diffAccelSensFront,diffAccelSensRear,diffBrakeSensFront,diffBrakeSensRear,diffTorqueVectoring,diffTorqueFront,diffTorqueRear,aeroDownforceFront,aeroDownforceRear,ecuType,ecuOutput,powerRestrictor,ballastWeight,ballastPosition,transmissionType,transTopSpeedAuto,transFinalGear,transGearRatios,nitro,nitroOutput,turboType,antiLagType,intercoolerType,superchargerType,airCleanerType,silencerType,exhaustManifoldType,brakeSystemType,brakePadsType,handbrakeType,handbrakeTorque,brakeBalanceType,brakeBalance,steeringAngleKit,fourWheelSteeringType,rearSteeringAngle,clutchFlywheelType,propellerShaftType,engineBoreUp,engineStrokeUp,engineBalanceTuning,enginePolishPorts,engineHighLiftCamshaft,engineTitaniumRods,engineRacingCrank,engineHighCompPistons,weightReductionStage,isBodyRigidity
Alfa Romeo,4C Gr.3,2014,Alfa Romeo 4C Gr.3 2014 basic setup,TRUE,713.68,528,8000,53.9,5500,1220,44,56,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,4,3.4,3.5,3.5,-0.1,0.25,FULLY_CUSTOMISABLE,0,15,0,20,0,40,NONE,0,100,375,625,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.918,"2.668, 2.172, 1.686, 1.357, 1.097, 0.916",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Alfa Romeo,155 2.5 V6 TI,1993,Alfa Romeo 155 2.5 V6 TI 1993 basic setup,TRUE,662.94,413,11500,30,7500,1010,58,42,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.2,FULLY_CUSTOMISABLE,5,10,20,30,10,20,NORMAL,30,70,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Alfa Romeo,4C Gr.4,2014,Alfa Romeo 4C Gr.4 2014 basic setup,TRUE,628.56,295,7000,36.3,4500,1020,41,59,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,3,3,3.5,3.5,-0.1,0.3,FULLY_CUSTOMISABLE,0,15,0,20,0,40,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Alpine,VGT,2017,Alpine VGT 2017 basic setup,TRUE,860.45,594,8000,56.6,5000,930,47,53,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,4,4,,,,,FULLY_CUSTOMISABLE,,,,,,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
AMG,SLS AMG GT3,2011,AMG SLS AMG GT3 2011 basic setup,TRUE,721.39,614,6700,73.4,4500,1350,48,52,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
AMG,GT3,2016,AMG GT3 2016 basic setup,TRUE,739.15,614,6700,73.4,4500,1325,49,51,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
AMG,GT3,2020,AMG GT3 2020 basic setup,TRUE,745.37,614,6700,73.4,4500,1285,49,51,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
AMG,SLS AMG Gr.4,2010,AMG SLS AMG Gr.4 2010 basic setup,TRUE,639.19,419,7000,48.7,5000,1415,47,53,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,80,85,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.25,FULLY_CUSTOMISABLE,0,10,0,30,0,30,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.67,"3.390, 2.326, 1.717. 1.328, 1.065, 0.888",NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Aston Martin,V12 Vantage GT3,2012,Aston Martin V12 Vantage GT3 2012 basic setup,TRUE,715.21,591,6500,70,5500,1250,51,49,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Aston Martin,DBR9 GT1,2010,Aston Martin DBR9 GT1 2010 basic setup,TRUE,720.71,599,6500,67.8,5500,1100,51,49,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
